date,index,pm25,Time,Date,day_of_week,Month
2018-01-01 00:00:00,2373,423.0,00:00:00,2018-01-01,Monday,January
2018-01-01 01:00:00,2372,414.0,01:00:00,2018-01-01,Monday,January
2018-01-01 02:00:00,2371,417.0,02:00:00,2018-01-01,Monday,January
2018-01-01 03:00:00,2370,466.0,03:00:00,2018-01-01,Monday,January
2018-01-01 04:00:00,2369,470.0,04:00:00,2018-01-01,Monday,January
2018-01-01 05:00:00,2368,449.0,05:00:00,2018-01-01,Monday,January
2018-01-01 06:00:00,2367,404.0,06:00:00,2018-01-01,Monday,January
2018-01-01 07:00:00,2366,380.0,07:00:00,2018-01-01,Monday,January
2018-01-01 08:00:00,2365,371.0,08:00:00,2018-01-01,Monday,January
2018-01-01 09:00:00,2364,332.0,09:00:00,2018-01-01,Monday,January
2018-01-01 10:00:00,2363,336.0,10:00:00,2018-01-01,Monday,January
2018-01-01 11:00:00,2362,382.0,11:00:00,2018-01-01,Monday,January
2018-01-01 12:00:00,2361,411.0,12:00:00,2018-01-01,Monday,January
2018-01-01 13:00:00,2360,426.0,13:00:00,2018-01-01,Monday,January
2018-01-01 14:00:00,2359,420.0,14:00:00,2018-01-01,Monday,January
2018-01-01 15:00:00,2358,330.0,15:00:00,2018-01-01,Monday,January
2018-01-01 16:00:00,2357,320.0,16:00:00,2018-01-01,Monday,January
2018-01-01 17:00:00,2356,301.0,17:00:00,2018-01-01,Monday,January
2018-01-01 18:00:00,2355,386.0,18:00:00,2018-01-01,Monday,January
2018-01-01 19:00:00,2354,480.0,19:00:00,2018-01-01,Monday,January
2018-01-01 20:00:00,2353,472.0,20:00:00,2018-01-01,Monday,January
2018-01-01 21:00:00,2352,444.0,21:00:00,2018-01-01,Monday,January
2018-01-01 22:00:00,2351,438.0,22:00:00,2018-01-01,Monday,January
2018-01-01 23:00:00,2350,448.0,23:00:00,2018-01-01,Monday,January
2018-01-02 00:00:00,2349,492.0,00:00:00,2018-01-02,Tuesday,January
2018-01-02 01:00:00,2348,446.0,01:00:00,2018-01-02,Tuesday,January
2018-01-02 02:00:00,2347,341.0,02:00:00,2018-01-02,Tuesday,January
2018-01-02 03:00:00,2346,342.0,03:00:00,2018-01-02,Tuesday,January
